filter,filter_label,d_p_mm,porosity,thickness_mm,U_mps,Cp_holes,top,Darcy_d_1pm2,Forch_f_1pm,Q_filter_Lpm,Q_top_Lpm,Q_holes_Lpm,V_face_mps,dp_filter_Pa,q_Pa,residence_ms,Re_particle
F0,empty housing (no media),0.0,1,18.0,1,0.1,"open, Cp=-0.6",0,0,-1.8934064880995722,-11.559150000808714,9.66574351270914,-0.03475720898077426,0.0,0.6,inf,0
F0,empty housing (no media),0.0,1,18.0,1,0.1,capped,0,0,3.660679547019815,0.0,3.660679547023902,0.06719899019418728,0.0,0.6,267.8611679726848,0
F0,empty housing (no media),0.0,1,18.0,1,0.3,"open, Cp=-0.6",0,0,1.4977897544683354,-12.190692502845863,13.688482257314199,0.027494883868054418,0.0,0.6,654.6672496010694,0
F0,empty housing (no media),0.0,1,18.0,1,0.3,capped,0,0,7.56328112035408,0.0,7.563281120354087,0.1388389361358662,0.0,0.6,129.64662868336447,0
F0,empty housing (no media),0.0,1,18.0,1,0.6,"open, Cp=-0.6",0,0,5.034065020127084,-13.082229700284088,18.116294720411044,0.0924101882121369,0.0,0.6,194.7837175558953,0
F0,empty housing (no media),0.0,1,18.0,1,0.6,capped,0,0,11.5068389904742,0.0,11.506838990474282,0.21123071565127147,0.0,0.6,85.21487959031896,0
F0,empty housing (no media),0.0,1,18.0,2,0.1,"open, Cp=-0.6",0,0,-4.6006506188276886,-23.2974847632797,18.696834144452023,-0.08445401239045142,0.0,2.4,inf,0
F0,empty housing (no media),0.0,1,18.0,2,0.1,capped,0,0,9.028848247415844,0.0,9.028848247415846,0.16574231015026847,0.0,2.4,108.60232359305536,0
F0,empty housing (no media),0.0,1,18.0,2,0.3,"open, Cp=-0.6",0,0,3.5526554317105457,-24.224785831046386,27.77744126275693,0.06521599458581369,0.0,2.4,276.00591103942935,0
F0,empty housing (no media),0.0,1,18.0,2,0.3,capped,0,0,17.146238427883475,0.0,17.146238427883482,0.31475301052247556,0.0,2.4,57.18769764940715,0
F0,empty housing (no media),0.0,1,18.0,2,0.6,"open, Cp=-0.6",0,0,11.344849864778382,-25.746468865404548,37.091318730182934,0.20825708588407146,0.0,2.4,86.43163291941909,0
F0,empty housing (no media),0.0,1,18.0,2,0.6,capped,0,0,25.166821623148394,0.0,25.166821623130858,0.4619866278242288,0.0,2.4,38.96216668602024,0
F0,empty housing (no media),0.0,1,18.0,4,0.1,"open, Cp=-0.6",0,0,-10.28534486168002,-46.8272637793382,36.54191891765826,-0.18880778271524815,0.0,9.6,inf,0
F0,empty housing (no media),0.0,1,18.0,4,0.1,capped,0,0,20.13793390779757,0.0,20.13793390779757,0.369671479248428,0.0,9.6,48.69188187467276,0
F0,empty housing (no media),0.0,1,18.0,4,0.3,"open, Cp=-0.6",0,0,7.815556350804833,-48.247449744766854,56.06300609557168,0.14346994535684476,0.0,9.6,125.46181679535465,0
F0,empty housing (no media),0.0,1,18.0,4,0.3,capped,0,0,34.91268568374138,0.0,34.91268568374213,0.6408911768374956,0.0,9.6,28.085891412675945,0
F0,empty housing (no media),0.0,1,18.0,4,0.6,"open, Cp=-0.6",0,0,24.174297396950653,-50.9966356149348,75.17093301188541,0.44376688886946186,0.0,9.6,40.56183652155009,0
F0,empty housing (no media),0.0,1,18.0,4,0.6,capped,0,0,49.79589405096295,0.0,49.795894050962985,0.9141018089839742,0.0,9.6,19.69146086693235,0
F0,empty housing (no media),0.0,1,18.0,6,0.1,"open, Cp=-0.6",0,0,-16.051087188628138,-70.37237591743629,54.3212887288092,-0.29464935041166795,0.0,21.599999999999998,inf,0
F0,empty housing (no media),0.0,1,18.0,6,0.1,capped,0,0,31.336095772413778,0.0,31.336095772426905,0.5752358176909684,0.0,21.599999999999998,31.29151462134798,0
F0,empty housing (no media),0.0,1,18.0,6,0.3,"open, Cp=-0.6",0,0,12.121942867470048,-72.25699747564424,84.3789403431142,0.22252216000408326,0.0,21.599999999999998,80.89082004088806,0
F0,empty housing (no media),0.0,1,18.0,6,0.3,capped,0,0,52.889531823672336,0.0,52.88953182367242,0.970891629475612,0.0,21.599999999999998,18.539659271469848,0
F0,empty housing (no media),0.0,1,18.0,6,0.6,"open, Cp=-0.6",0,0,35.87057608199852,-76.62644395561658,112.49702003761512,0.6584751435990746,0.0,21.599999999999998,27.33588378388304,0
F0,empty housing (no media),0.0,1,18.0,6,0.6,capped,0,0,75.3747925047245,0.0,75.37479250472515,1.3836529194524618,0.0,21.599999999999998,13.009042764223665,0
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,1,0.1,"open, Cp=-0.6",31121399.176954735,5281.207133058984,-0.3937771066894809,-11.204291878917537,10.810514772229457,-0.007228555133339737,-0.038136581834021244,0.6,inf,1.9169648972392674
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,1,0.1,capped,31121399.176954735,5281.207133058984,0.5512245313478833,0.0,0.5512245313624966,0.01011881302393645,0.05421912464937068,0.6,400.24457319446117,2.6834421278947493
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,1,0.3,"open, Cp=-0.6",31121399.176954735,5281.207133058984,0.3394356385523651,-12.503683615814085,12.843119254366451,0.006231010350307129,0.0326964486222932,0.6,649.9748471450339,1.6524226343355923
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,1,0.3,capped,31121399.176954735,5281.207133058984,1.502543452573791,0.0,1.502543452573798,0.02758214736879834,0.16152872024816264,0.6,146.83410779617066,7.314602617139891
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,1,0.6,"open, Cp=-0.6",31121399.176954735,5281.207133058984,1.2945596297409157,-14.196699210201354,15.491258839942308,0.023764194256110784,0.13658222407680498,0.6,170.42446111795152,6.302106764051479
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,1,0.6,capped,31121399.176954735,5281.207133058984,2.695989120384198,0.0,2.6959891203843815,0.04949019550531902,0.32074907410746545,0.6,81.83439080503776,13.124471736217199
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,2,0.1,"open, Cp=-0.6",31121399.176954735,5281.207133058984,-1.3151200427465422,-22.539031354781354,21.22391131203585,-0.024141621172126513,-0.13901129796805042,2.4,inf,6.402197879900954
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,2,0.1,capped,31121399.176954735,5281.207133058984,1.9252175921725818,0.0,1.9252175921725911,0.035341164512311764,0.2147878209221227,2.4,114.5972425042504,9.372242522602013
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,2,0.3,"open, Cp=-0.6",31121399.176954735,5281.207133058984,1.1278890809792064,-24.889218842198428,26.01710792317764,0.020704627739009884,0.11719111723165924,2.4,195.60844324524305,5.490730008135218
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,2,0.3,capped,31121399.176954735,5281.207133058984,4.623757392971416,0.0,4.623757392982285,0.08487818278536284,0.635761011494702,2.4,47.71544190857039,22.509131346394568
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,2,0.6,"open, Cp=-0.6",31121399.176954735,5281.207133058984,3.8490890617606155,-28.043865250925247,31.892954312685884,0.07065761829067445,0.5005899022586512,2.4,57.318660011138924,18.737931922388803
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,2,0.6,capped,31121399.176954735,5281.207133058984,7.58640326330027,0.0,7.586403263300481,0.13926338865544677,1.2591167078384387,2.4,29.081584464529683,36.931727378240026
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,4,0.1,"open, Cp=-0.6",31121399.176954735,5281.207133058984,-3.8198018834657503,-45.36646238660367,41.546660503140984,-0.07011999439276886,-0.4957058875918327,9.6,inf,18.595357629021578
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,4,0.1,capped,31121399.176954735,5281.207133058984,5.707742063060224,0.0,5.707742063060228,0.10477685850398698,0.8442664341900569,9.6,38.6535734877553,27.786128222051794
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,4,0.3,"open, Cp=-0.6",31121399.176954735,5281.207133058984,3.2684118082189735,-49.50832389641944,52.77673570463842,0.05999814248419485,0.40683144848559555,9.6,67.50208976997713,15.911109609068246
F1,coarse granules d_p=4 mm,4.0,0.45,9.0,4,0.3,capped,31121399.176954735,5281.207133058984,11.98074340343852,0.0,11.980743403438533,0.21993016546399746,2.4943948065113037,9.6,18.414936356981844,58.32402178050761
