case_id,group,filter,thickness_mm,U_mps,azimuth_deg,top,core,mesh,purpose,cells_est,core_hours_est
A1_SEALED_t18_U4_az000_capped_holes_medium,A1,SEALED,18,4,0,capped,holes,medium,"core Cp vs rotor azimuth (4 fins -> 90 deg period), static torque",3500000,7.3
A1_SEALED_t18_U4_az225_capped_holes_medium,A1,SEALED,18,4,22.5,capped,holes,medium,"core Cp vs rotor azimuth (4 fins -> 90 deg period), static torque",3500000,7.3
A1_SEALED_t18_U4_az450_capped_holes_medium,A1,SEALED,18,4,45,capped,holes,medium,"core Cp vs rotor azimuth (4 fins -> 90 deg period), static torque",3500000,7.3
A1_SEALED_t18_U4_az675_capped_holes_medium,A1,SEALED,18,4,67.5,capped,holes,medium,"core Cp vs rotor azimuth (4 fins -> 90 deg period), static torque",3500000,7.3
A2_SEALED_t18_U2_az000_capped_holes_medium,A2,SEALED,18,2,0,capped,holes,medium,"driving pressure & bypass vs speed, top open/capped",3500000,7.3
A2_SEALED_t18_U4_az000_capped_holes_medium,A2,SEALED,18,4,0,capped,holes,medium,"driving pressure & bypass vs speed, top open/capped",3500000,7.3
A2_SEALED_t18_U6_az000_capped_holes_medium,A2,SEALED,18,6,0,capped,holes,medium,"driving pressure & bypass vs speed, top open/capped",3500000,7.3
A2_SEALED_t18_U2_az000_open_holes_medium,A2,SEALED,18,2,0,open,holes,medium,"driving pressure & bypass vs speed, top open/capped",3500000,7.3
A2_SEALED_t18_U4_az000_open_holes_medium,A2,SEALED,18,4,0,open,holes,medium,"driving pressure & bypass vs speed, top open/capped",3500000,7.3
A2_SEALED_t18_U6_az000_open_holes_medium,A2,SEALED,18,6,0,open,holes,medium,"driving pressure & bypass vs speed, top open/capped",3500000,7.3
A2_F0_t18_U2_az000_capped_holes_medium,A2,F0,18,2,0,capped,holes,medium,"driving pressure & bypass vs speed, top open/capped",3500000,7.3
A2_F0_t18_U4_az000_capped_holes_medium,A2,F0,18,4,0,capped,holes,medium,"driving pressure & bypass vs speed, top open/capped",3500000,7.3
A2_F0_t18_U6_az000_capped_holes_medium,A2,F0,18,6,0,capped,holes,medium,"driving pressure & bypass vs speed, top open/capped",3500000,7.3
A2_F0_t18_U2_az000_open_holes_medium,A2,F0,18,2,0,open,holes,medium,"driving pressure & bypass vs speed, top open/capped",3500000,7.3
A2_F0_t18_U4_az000_open_holes_medium,A2,F0,18,4,0,open,holes,medium,"driving pressure & bypass vs speed, top open/capped",3500000,7.3
A2_F0_t18_U6_az000_open_holes_medium,A2,F0,18,6,0,open,holes,medium,"driving pressure & bypass vs speed, top open/capped",3500000,7.3
B1_F1_t09_U4_az000_capped_holes_medium,B1,F1,9,4,0,capped,holes,medium,filter resistance x thickness sensitivity,3500000,7.3
B1_F1_t18_U4_az000_capped_holes_medium,B1,F1,18,4,0,capped,holes,medium,filter resistance x thickness sensitivity,3500000,7.3
B1_F1_t36_U4_az000_capped_holes_medium,B1,F1,36,4,0,capped,holes,medium,filter resistance x thickness sensitivity,3500000,7.3
B2_F1_t18_U4_az000_open_holes_medium,B2,F1,18,4,0,open,holes,medium,filter bypass through open tube top,3500000,7.3
B1_F2_t09_U4_az000_capped_holes_medium,B1,F2,9,4,0,capped,holes,medium,filter resistance x thickness sensitivity,3500000,7.3
B1_F2_t18_U4_az000_capped_holes_medium,B1,F2,18,4,0,capped,holes,medium,filter resistance x thickness sensitivity,3500000,7.3
B1_F2_t36_U4_az000_capped_holes_medium,B1,F2,36,4,0,capped,holes,medium,filter resistance x thickness sensitivity,3500000,7.3
B2_F2_t18_U4_az000_open_holes_medium,B2,F2,18,4,0,open,holes,medium,filter bypass through open tube top,3500000,7.3
B1_F3_t09_U4_az000_capped_holes_medium,B1,F3,9,4,0,capped,holes,medium,filter resistance x thickness sensitivity,3500000,7.3
B1_F3_t18_U4_az000_capped_holes_medium,B1,F3,18,4,0,capped,holes,medium,filter resistance x thickness sensitivity,3500000,7.3
B1_F3_t36_U4_az000_capped_holes_medium,B1,F3,36,4,0,capped,holes,medium,filter resistance x thickness sensitivity,3500000,7.3
B2_F3_t18_U4_az000_open_holes_medium,B2,F3,18,4,0,open,holes,medium,filter bypass through open tube top,3500000,7.3
B1_F4_t09_U4_az000_capped_holes_medium,B1,F4,9,4,0,capped,holes,medium,filter resistance x thickness sensitivity,3500000,7.3
B1_F4_t18_U4_az000_capped_holes_medium,B1,F4,18,4,0,capped,holes,medium,filter resistance x thickness sensitivity,3500000,7.3
B1_F4_t36_U4_az000_capped_holes_medium,B1,F4,36,4,0,capped,holes,medium,filter resistance x thickness sensitivity,3500000,7.3
B2_F4_t18_U4_az000_open_holes_medium,B2,F4,18,4,0,open,holes,medium,filter bypass through open tube top,3500000,7.3
C1_F2_t18_U2_az000_capped_holes_medium,C1,F2,18,2,0,capped,holes,medium,Reynolds/speed scaling of filter flow,3500000,7.3
C1_F2_t18_U2_az000_open_holes_medium,C1,F2,18,2,0,open,holes,medium,Reynolds/speed scaling of filter flow,3500000,7.3
C1_F2_t18_U6_az000_capped_holes_medium,C1,F2,18,6,0,capped,holes,medium,Reynolds/speed scaling of filter flow,3500000,7.3
C1_F2_t18_U6_az000_open_holes_medium,C1,F2,18,6,0,open,holes,medium,Reynolds/speed scaling of filter flow,3500000,7.3
R1_F1_t18_U4_az000_open_solid_medium,R1,F1,18,4,0,open,solid,medium,"reversed layout: deck-level intake, top exhaust",3500000,7.3
R1_F2_t18_U4_az000_open_solid_medium,R1,F2,18,4,0,open,solid,medium,"reversed layout: deck-level intake, top exhaust",3500000,7.3
R1_F3_t18_U4_az000_open_solid_medium,R1,F3,18,4,0,open,solid,medium,"reversed layout: deck-level intake, top exhaust",3500000,7.3
R1_F4_t18_U4_az000_open_solid_medium,R1,F4,18,4,0,open,solid,medium,"reversed layout: deck-level intake, top exhaust",3500000,7.3
R2_F2_t18_U2_az000_open_solid_medium,R2,F2,18,2,0,open,solid,medium,"reversed layout, speed scaling",3500000,7.3
